city,area,danChiName,nearestStationByWalk,bestCaseByWalk,worstCaseByWalk,nearestStationByBus,bestCaseByBus,worstCaseByBus,traffic,address,buildingName,room,roomType,floorSpace,floor,maxFloor,rent,commonFee,total,shikikin,systems,link
tokyo,hachioji,館ヶ丘,JR中央線「高尾」駅,1,11,JR中央線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-10号棟,503号室,3K,48,5,5,43400,3300,46700,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003100503
tokyo,hachioji,館ヶ丘,京王高尾線「高尾」駅,1,11,京王高尾線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-10号棟,503号室,3K,48,5,5,43400,3300,46700,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003100503
tokyo,hachioji,館ヶ丘,JR中央本線「高尾」駅,29,38,,,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-10号棟,503号室,3K,48,5,5,43400,3300,46700,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003100503
tokyo,hachioji,館ヶ丘,JR中央線「高尾」駅,1,11,JR中央線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-3号棟,406号室,3K,48,4,5,44300,3300,47600,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003030406
tokyo,hachioji,館ヶ丘,京王高尾線「高尾」駅,1,11,京王高尾線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-3号棟,406号室,3K,48,4,5,44300,3300,47600,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003030406
tokyo,hachioji,館ヶ丘,JR中央本線「高尾」駅,29,38,,,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-3号棟,406号室,3K,48,4,5,44300,3300,47600,2か月,['U35割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003030406
tokyo,hachioji,館ヶ丘,JR中央線「高尾」駅,1,11,JR中央線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,1-12号棟,417号室,2DK,42,4,5,50700,3300,54000,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=001120417
tokyo,hachioji,館ヶ丘,京王高尾線「高尾」駅,1,11,京王高尾線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,1-12号棟,417号室,2DK,42,4,5,50700,3300,54000,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=001120417
tokyo,hachioji,館ヶ丘,JR中央本線「高尾」駅,29,38,,,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,1-12号棟,417号室,2DK,42,4,5,50700,3300,54000,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=001120417
tokyo,hachioji,館ヶ丘,JR中央線「高尾」駅,1,11,JR中央線「高尾」駅,7,,JR中央線「高尾」駅バス7分 徒歩1～11分<br>京王高尾線「高尾」駅バス7分 徒歩1～11分<br>JR中央本線「高尾」駅 徒歩29～38分,八王子市館町1097,3-2号棟,410号室,3K,48,4,5,56200,3300,59500,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2600_room.html?JKSS=003020410
