Todofuken,Area,Dan Chi Name,Total Fee,Nearest station by Walk,Best case by Walk (minute),Worst case by Walk (minute),Nearest station by Bus,Best case by Bus (minute),Worst case by Bus (minute),Address,Building Name,Building Structure,Floor,Room Num,Room Type,Floor Space,Max Floor,Rent,Common Fee,Shikikin,Systems,availableDate,Room Link,Traffic
tokyo,harumi,晴海アイランド トリトンスクエアアーバンタワー,213800,都営大江戸線｢勝どき｣駅,10,10,,,,中央区晴海1-8-5,5号棟,鉄筋コンクリート造,26,2610号室,1LDK,57,28,207300,6500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6410_room.html?JKSS=000052610,都営大江戸線｢勝どき｣駅 徒歩10分<br>東京メトロ有楽町線｢月島｣駅 徒歩10分<br>都営大江戸線「月島」駅 徒歩10分
tokyo,harumi,晴海アイランド トリトンスクエアアーバンタワー,213800,東京メトロ有楽町線｢月島｣駅,10,10,,,,中央区晴海1-8-5,5号棟,鉄筋コンクリート造,26,2610号室,1LDK,57,28,207300,6500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6410_room.html?JKSS=000052610,都営大江戸線｢勝どき｣駅 徒歩10分<br>東京メトロ有楽町線｢月島｣駅 徒歩10分<br>都営大江戸線「月島」駅 徒歩10分
tokyo,harumi,晴海アイランド トリトンスクエアアーバンタワー,213800,都営大江戸線「月島」駅,10,10,,,,中央区晴海1-8-5,5号棟,鉄筋コンクリート造,26,2610号室,1LDK,57,28,207300,6500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6410_room.html?JKSS=000052610,都営大江戸線｢勝どき｣駅 徒歩10分<br>東京メトロ有楽町線｢月島｣駅 徒歩10分<br>都営大江戸線「月島」駅 徒歩10分
tokyo,yaesu,ムーンアイランドタワー,218300,東京メトロ有楽町線・都営大江戸線「月島」駅,1,1,,,,中央区月島2-10-1,,鉄筋コンクリート造,27,2701号室,2LDK,59,38,212300,6000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6530_room.html?JKSS=000002701,東京メトロ有楽町線・都営大江戸線「月島」駅 徒歩1分
tokyo,shinjuku,エステート北新宿,143200,JR総武線ほか｢東中野｣駅,7,7,,,,新宿区北新宿3-27-3,,鉄筋コンクリート造,3,312号室,1DK,40,5,136200,7000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4020_room.html?JKSS=000000312,JR総武線ほか｢東中野｣駅 徒歩7分
tokyo,shinjuku,エステート北新宿,186800,JR総武線ほか｢東中野｣駅,7,7,,,,新宿区北新宿3-27-3,,鉄筋コンクリート造,4,403号室,3DK,63,5,179800,7000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4020_room.html?JKSS=000000403,JR総武線ほか｢東中野｣駅 徒歩7分
tokyo,shinjuku,哲学堂公園ハイツ,148550,西武新宿線「新井薬師前」駅,8.0,8.0,,,,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,鉄骨鉄筋コンクリート造,10,1004号室,1LDK,51,11,140900,7650,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220011004,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分
tokyo,shinjuku,哲学堂公園ハイツ,148550,,,,JR中央線「中野」駅,13.0,13.0,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,鉄骨鉄筋コンクリート造,10,1004号室,1LDK,51,11,140900,7650,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220011004,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分
tokyo,shinjuku,哲学堂公園ハイツ,148550,都営大江戸線「落合南長崎」駅,15.0,15.0,,,,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,鉄骨鉄筋コンクリート造,10,1004号室,1LDK,51,11,140900,7650,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220011004,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分
tokyo,shinjuku,哲学堂公園ハイツ,183250,西武新宿線「新井薬師前」駅,8.0,8.0,,,,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,鉄骨鉄筋コンクリート造,8,805号室,3DK,70,11,175600,7650,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220010805,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分
