city,area,danChiName,nearestStationByWalk,bestCaseByWalk,worstCaseByWalk,nearestStationByBus,bestCaseByBus,worstCaseByBus,traffic,address,buildingName,room,roomType,floorSpace,floor,maxFloor,rent,commonFee,total,shikikin,systems,link,availableDate
tokyo,shinjuku,エステート北新宿,JR総武線ほか｢東中野｣駅,7,,,,,JR総武線ほか｢東中野｣駅 徒歩7分,新宿区北新宿3-27-3,,312号室,1DK,40,3,5,136200,7000,143200,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4020_room.html?JKSS=000000312,随時
tokyo,shinjuku,哲学堂公園ハイツ,西武新宿線「新井薬師前」駅,8,,,,,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,1004号室,1LDK,51,10,11,140900,7650,148550,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220011004,随時
tokyo,shinjuku,哲学堂公園ハイツ,JR中央線「中野」駅,3,,JR中央線「中野」駅,10,,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,1004号室,1LDK,51,10,11,140900,7650,148550,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220011004,随時
tokyo,shinjuku,哲学堂公園ハイツ,都営大江戸線「落合南長崎」駅,15,,,,,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,1004号室,1LDK,51,10,11,140900,7650,148550,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220011004,随時
tokyo,yaesu,神田小川町ハイツ,都営新宿線｢小川町｣駅,2,,,,,都営新宿線｢小川町｣駅 徒歩2分<br>東京メトロ千代田線｢新御茶ノ水｣駅 徒歩2分<br>東京メトロ丸ノ内線｢淡路町｣駅 徒歩3分,千代田区神田小川町1-7,,904号室,1LDK,43,9,10,177800,7100,184900,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3820_room.html?JKSS=000000904,随時
tokyo,yaesu,神田小川町ハイツ,東京メトロ千代田線｢新御茶ノ水｣駅,2,,,,,都営新宿線｢小川町｣駅 徒歩2分<br>東京メトロ千代田線｢新御茶ノ水｣駅 徒歩2分<br>東京メトロ丸ノ内線｢淡路町｣駅 徒歩3分,千代田区神田小川町1-7,,904号室,1LDK,43,9,10,177800,7100,184900,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3820_room.html?JKSS=000000904,随時
tokyo,yaesu,神田小川町ハイツ,東京メトロ丸ノ内線｢淡路町｣駅,3,,,,,都営新宿線｢小川町｣駅 徒歩2分<br>東京メトロ千代田線｢新御茶ノ水｣駅 徒歩2分<br>東京メトロ丸ノ内線｢淡路町｣駅 徒歩3分,千代田区神田小川町1-7,,904号室,1LDK,43,9,10,177800,7100,184900,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3820_room.html?JKSS=000000904,随時
tokyo,kinshicho,リバーピア吾妻橋 ライフタワー,東武伊勢崎線・東京メトロ銀座線・都営浅草線「浅草」駅,5,,,,,東武伊勢崎線・東京メトロ銀座線・都営浅草線「浅草」駅 徒歩5分<br>都営浅草線「本所吾妻橋」駅 徒歩5分,墨田区吾妻橋1-23-30,,906号室,1LDK,44,9,30,136000,5100,141100,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4440_room.html?JKSS=000000906,随時
tokyo,kinshicho,リバーピア吾妻橋 ライフタワー,都営浅草線「本所吾妻橋」駅,5,,,,,東武伊勢崎線・東京メトロ銀座線・都営浅草線「浅草」駅 徒歩5分<br>都営浅草線「本所吾妻橋」駅 徒歩5分,墨田区吾妻橋1-23-30,,906号室,1LDK,44,9,30,136000,5100,141100,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4440_room.html?JKSS=000000906,随時
tokyo,kinshicho,イーストコア曳舟二番館,東武伊勢崎線・東武亀戸線「曳舟」駅,3,,,,,東武伊勢崎線・東武亀戸線「曳舟」駅 徒歩3分<br>京成押上線「京成曳舟」駅 徒歩3分,墨田区京島1-1-2,,3709号室,1LDK,64,37,41,207100,5900,213000,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7080_room.html?JKSS=000003709,随時
tokyo,kinshicho,イーストコア曳舟二番館,京成押上線「京成曳舟」駅,3,,,,,東武伊勢崎線・東武亀戸線「曳舟」駅 徒歩3分<br>京成押上線「京成曳舟」駅 徒歩3分,墨田区京島1-1-2,,3709号室,1LDK,64,37,41,207100,5900,213000,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7080_room.html?JKSS=000003709,随時
tokyo,nishiojima,大島六丁目,都営新宿線「大島」駅,3,8,,,,都営新宿線「大島」駅 徒歩3～8分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩10～15分<br>JR総武線・東武亀戸線「亀戸」駅バス8分 徒歩2～7分,江東区大島6-1,6号棟,1452号室,2DK,53,14,14,100900,3400,104300,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1920_room.html?JKSS=000061452,随時
tokyo,nishiojima,大島六丁目,JR総武線・東武亀戸線「亀戸」駅,10,15,,,,都営新宿線「大島」駅 徒歩3～8分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩10～15分<br>JR総武線・東武亀戸線「亀戸」駅バス8分 徒歩2～7分,江東区大島6-1,6号棟,1452号室,2DK,53,14,14,100900,3400,104300,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1920_room.html?JKSS=000061452,随時
tokyo,nishiojima,大島六丁目,JR総武線・東武亀戸線「亀戸」駅,2,7,JR総武線・東武亀戸線「亀戸」駅,8,,都営新宿線「大島」駅 徒歩3～8分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩10～15分<br>JR総武線・東武亀戸線「亀戸」駅バス8分 徒歩2～7分,江東区大島6-1,6号棟,1452号室,2DK,53,14,14,100900,3400,104300,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1920_room.html?JKSS=000061452,随時
tokyo,yaesu,ヴェッセル木場南,東京メトロ東西線「木場」駅,14,19,,,,東京メトロ東西線「木場」駅 徒歩14～19分<br>JR京葉線「潮見」駅 徒歩15～20分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩4～9分,江東区塩浜2-18,9号棟,310号室,1LDK,54,3,10,124400,4000,128400,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5820_room.html?JKSS=000090310,随時
tokyo,yaesu,ヴェッセル木場南,JR京葉線「潮見」駅,15,20,,,,東京メトロ東西線「木場」駅 徒歩14～19分<br>JR京葉線「潮見」駅 徒歩15～20分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩4～9分,江東区塩浜2-18,9号棟,310号室,1LDK,54,3,10,124400,4000,128400,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5820_room.html?JKSS=000090310,随時
tokyo,yaesu,ヴェッセル木場南,JR総武線・東京メトロ半蔵門線「錦糸町」駅,4,9,JR総武線・東京メトロ半蔵門線「錦糸町」駅,19,,東京メトロ東西線「木場」駅 徒歩14～19分<br>JR京葉線「潮見」駅 徒歩15～20分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩4～9分,江東区塩浜2-18,9号棟,310号室,1LDK,54,3,10,124400,4000,128400,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5820_room.html?JKSS=000090310,随時
tokyo,nishiojima,木場三丁目パークハイツ,東京メトロ東西線「木場」駅,9,10,,,,東京メトロ東西線「木場」駅 徒歩9～10分<br>東京メトロ東西線・都営大江戸線「門前仲町」駅 徒歩10～12分<br>東京メトロ半蔵門線・都営大江戸線「清澄白河」駅 徒歩14～15分,江東区木場3-6,3号棟,519号室,1LDK,52,5,14,157200,4000,161200,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3860_room.html?JKSS=000300519,随時
tokyo,nishiojima,木場三丁目パークハイツ,東京メトロ東西線・都営大江戸線「門前仲町」駅,10,12,,,,東京メトロ東西線「木場」駅 徒歩9～10分<br>東京メトロ東西線・都営大江戸線「門前仲町」駅 徒歩10～12分<br>東京メトロ半蔵門線・都営大江戸線「清澄白河」駅 徒歩14～15分,江東区木場3-6,3号棟,519号室,1LDK,52,5,14,157200,4000,161200,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3860_room.html?JKSS=000300519,随時
tokyo,nishiojima,木場三丁目パークハイツ,東京メトロ半蔵門線・都営大江戸線「清澄白河」駅,14,15,,,,東京メトロ東西線「木場」駅 徒歩9～10分<br>東京メトロ東西線・都営大江戸線「門前仲町」駅 徒歩10～12分<br>東京メトロ半蔵門線・都営大江戸線「清澄白河」駅 徒歩14～15分,江東区木場3-6,3号棟,519号室,1LDK,52,5,14,157200,4000,161200,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3860_room.html?JKSS=000300519,随時
tokyo,kinshicho,アーバンライフ亀戸,JR総武線・東武亀戸線「亀戸」駅,6,7,,,,JR総武線・東武亀戸線「亀戸」駅 徒歩6～7分<br>都営新宿線「西大島」駅 徒歩17分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅 徒歩9～10分,江東区亀戸2-1,21号棟,417号室,2LDK,68,4,14,184800,5400,190200,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5960_room.html?JKSS=000210417,随時
tokyo,kinshicho,アーバンライフ亀戸,都営新宿線「西大島」駅,17,,,,,JR総武線・東武亀戸線「亀戸」駅 徒歩6～7分<br>都営新宿線「西大島」駅 徒歩17分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅 徒歩9～10分,江東区亀戸2-1,21号棟,417号室,2LDK,68,4,14,184800,5400,190200,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5960_room.html?JKSS=000210417,随時
tokyo,kinshicho,アーバンライフ亀戸,JR総武線・東京メトロ半蔵門線「錦糸町」駅,9,10,,,,JR総武線・東武亀戸線「亀戸」駅 徒歩6～7分<br>都営新宿線「西大島」駅 徒歩17分<br>JR総武線・東京メトロ半蔵門線「錦糸町」駅 徒歩9～10分,江東区亀戸2-1,21号棟,417号室,2LDK,68,4,14,184800,5400,190200,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5960_room.html?JKSS=000210417,随時
tokyo,kitasenju,竹の塚第一,東武伊勢崎線「竹ノ塚」駅,11,16,,,,東武伊勢崎線「竹ノ塚」駅 徒歩11～16分<br>東武伊勢崎線「竹ノ塚」駅バス2～3分 徒歩2～7分<br>JR常磐線「北千住」駅バス16～18分 徒歩1～5分,足立区竹の塚3-11ほか,2号棟,506号室,2DK,40,5,5,65100,3100,68200,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1300_room.html?JKSS=000002506,随時
tokyo,kitasenju,竹の塚第一,東武伊勢崎線「竹ノ塚」駅,2,7,東武伊勢崎線「竹ノ塚」駅,2,3,東武伊勢崎線「竹ノ塚」駅 徒歩11～16分<br>東武伊勢崎線「竹ノ塚」駅バス2～3分 徒歩2～7分<br>JR常磐線「北千住」駅バス16～18分 徒歩1～5分,足立区竹の塚3-11ほか,2号棟,506号室,2DK,40,5,5,65100,3100,68200,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1300_room.html?JKSS=000002506,随時
tokyo,kitasenju,竹の塚第一,JR常磐線「北千住」駅,1,5,JR常磐線「北千住」駅,16,18,東武伊勢崎線「竹ノ塚」駅 徒歩11～16分<br>東武伊勢崎線「竹ノ塚」駅バス2～3分 徒歩2～7分<br>JR常磐線「北千住」駅バス16～18分 徒歩1～5分,足立区竹の塚3-11ほか,2号棟,506号室,2DK,40,5,5,65100,3100,68200,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1300_room.html?JKSS=000002506,随時
tokyo,kitasenju,竹の塚第一,東武伊勢崎線「竹ノ塚」駅,11,16,,,,東武伊勢崎線「竹ノ塚」駅 徒歩11～16分<br>東武伊勢崎線「竹ノ塚」駅バス2～3分 徒歩2～7分<br>JR常磐線「北千住」駅バス16～18分 徒歩1～5分,足立区竹の塚3-11ほか,3号棟,401号室,2DK,40,4,5,67000,3100,70100,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1300_room.html?JKSS=000003401,随時
tokyo,kitasenju,竹の塚第一,東武伊勢崎線「竹ノ塚」駅,2,7,東武伊勢崎線「竹ノ塚」駅,2,3,東武伊勢崎線「竹ノ塚」駅 徒歩11～16分<br>東武伊勢崎線「竹ノ塚」駅バス2～3分 徒歩2～7分<br>JR常磐線「北千住」駅バス16～18分 徒歩1～5分,足立区竹の塚3-11ほか,3号棟,401号室,2DK,40,4,5,67000,3100,70100,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1300_room.html?JKSS=000003401,随時
tokyo,kitasenju,竹の塚第一,JR常磐線「北千住」駅,1,5,JR常磐線「北千住」駅,16,18,東武伊勢崎線「竹ノ塚」駅 徒歩11～16分<br>東武伊勢崎線「竹ノ塚」駅バス2～3分 徒歩2～7分<br>JR常磐線「北千住」駅バス16～18分 徒歩1～5分,足立区竹の塚3-11ほか,3号棟,401号室,2DK,40,4,5,67000,3100,70100,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1300_room.html?JKSS=000003401,随時
tokyo,kitasenju,竹の塚第一,東武伊勢崎線「竹ノ塚」駅,11,16,,,,東武伊勢崎線「竹ノ塚」駅 徒歩11～16分<br>東武伊勢崎線「竹ノ塚」駅バス2～3分 徒歩2～7分<br>JR常磐線「北千住」駅バス16～18分 徒歩1～5分,足立区竹の塚3-11ほか,16号棟,504号室,3DK,50,5,5,78300,3100,81400,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1300_room.html?JKSS=000016504,随時
