Todofuken,Area,Dan Chi Name,Total Fee,Nearest station by Walk,Best case by Walk (minute),Worst case by Walk (minute),Nearest station by Bus,Best case by Bus (minute),Worst case by Bus (minute),Address,Building Name,Building Structure,Floor,Room Num,Room Type,Floor Space,Max Floor,Rent,Common Fee,Shikikin,Systems,availableDate,Room Link,Traffic
tokyo,yaesu,ムーンアイランドタワー,194700,東京メトロ有楽町線・都営大江戸線「月島」駅,1,1,,,,中央区月島2-10-1,,鉄筋コンクリート造,28,2815号室,1DK,50,38,188700,6000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6530_room.html?JKSS=000002815,東京メトロ有楽町線・都営大江戸線「月島」駅 徒歩1分
tokyo,harumi,晴海アイランド トリトンスクエアガーデンプラザ,275900,都営大江戸線｢勝どき｣駅,9.0,9.0,,,,中央区晴海1-7-2,2号棟,鉄骨鉄筋コンクリート造（一部鉄筋コンクリート造）,12,1213号室,2LDK,79,18,269200,6700,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5690_room.html?JKSS=000021213,都営大江戸線｢勝どき｣駅 徒歩9分<br>都営大江戸線ほか｢月島｣駅 徒歩10分<br>JR山手線｢有楽町｣駅バス15分 徒歩5分
tokyo,harumi,晴海アイランド トリトンスクエアガーデンプラザ,275900,都営大江戸線ほか｢月島｣駅,10.0,10.0,,,,中央区晴海1-7-2,2号棟,鉄骨鉄筋コンクリート造（一部鉄筋コンクリート造）,12,1213号室,2LDK,79,18,269200,6700,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5690_room.html?JKSS=000021213,都営大江戸線｢勝どき｣駅 徒歩9分<br>都営大江戸線ほか｢月島｣駅 徒歩10分<br>JR山手線｢有楽町｣駅バス15分 徒歩5分
tokyo,harumi,晴海アイランド トリトンスクエアガーデンプラザ,275900,,,,JR山手線｢有楽町｣駅,20.0,20.0,中央区晴海1-7-2,2号棟,鉄骨鉄筋コンクリート造（一部鉄筋コンクリート造）,12,1213号室,2LDK,79,18,269200,6700,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5690_room.html?JKSS=000021213,都営大江戸線｢勝どき｣駅 徒歩9分<br>都営大江戸線ほか｢月島｣駅 徒歩10分<br>JR山手線｢有楽町｣駅バス15分 徒歩5分
tokyo,shinjuku,エステート北新宿,143200,JR総武線ほか｢東中野｣駅,7,7,,,,新宿区北新宿3-27-3,,鉄筋コンクリート造,3,312号室,1DK,40,5,136200,7000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4020_room.html?JKSS=000000312,JR総武線ほか｢東中野｣駅 徒歩7分
tokyo,shinjuku,エステート北新宿,186800,JR総武線ほか｢東中野｣駅,7,7,,,,新宿区北新宿3-27-3,,鉄筋コンクリート造,4,403号室,3DK,63,5,179800,7000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4020_room.html?JKSS=000000403,JR総武線ほか｢東中野｣駅 徒歩7分
tokyo,shinjuku,哲学堂公園ハイツ,148550,西武新宿線「新井薬師前」駅,8.0,8.0,,,,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,鉄骨鉄筋コンクリート造,10,1004号室,1LDK,51,11,140900,7650,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220011004,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分
tokyo,shinjuku,哲学堂公園ハイツ,148550,,,,JR中央線「中野」駅,13.0,13.0,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,鉄骨鉄筋コンクリート造,10,1004号室,1LDK,51,11,140900,7650,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220011004,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分
tokyo,shinjuku,哲学堂公園ハイツ,148550,都営大江戸線「落合南長崎」駅,15.0,15.0,,,,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,鉄骨鉄筋コンクリート造,10,1004号室,1LDK,51,11,140900,7650,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220011004,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分
tokyo,shinjuku,哲学堂公園ハイツ,183250,西武新宿線「新井薬師前」駅,8.0,8.0,,,,新宿区西落合2-20-1、中野区松が丘1-33-1,2-20-1号棟,鉄骨鉄筋コンクリート造,8,805号室,3DK,70,11,175600,7650,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4000_room.html?JKSS=220010805,西武新宿線「新井薬師前」駅 徒歩8分<br>JR中央線「中野」駅バス10分 徒歩3分<br>都営大江戸線「落合南長崎」駅 徒歩15分
