Todofuken,Area,Dan Chi Name,Total Fee,Nearest station by Walk,Best case by Walk (minute),Worst case by Walk (minute),Nearest station by Bus,Best case by Bus (minute),Worst case by Bus (minute),Address,Building Name,Building Structure,Floor,Elevator,Room Num,Room Type,Floor Space,Max Floor,Rent,Common Fee,Shikikin,Systems,availableDate,Room Link,Traffic
tokyo,kitasenju,竹の塚第一アネックス,83800,東武伊勢崎線「竹ノ塚」駅,11.0,16.0,東武伊勢崎線「竹ノ塚」駅,4.0,10.0,足立区竹の塚3-11ほか,34号棟,鉄筋コンクリート造,2,N,203号室,1DK,36,9,79400,4400,2か月,"['近居割', 'シルバーピア']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1301_room.html?JKSS=000340203,<li>東武伊勢崎線「竹ノ塚」駅 徒歩11～16分</li><li>東武伊勢崎線「竹ノ塚」駅バス2～3分 徒歩2～7分</li><li>JR常磐線「北千住」駅バス16～18分 徒歩1～5分</li>
tokyo,kitasenju,竹の塚第一アネックス,83800,,,,JR常磐線「北千住」駅,17.0,23.0,足立区竹の塚3-11ほか,34号棟,鉄筋コンクリート造,2,N,203号室,1DK,36,9,79400,4400,2か月,"['近居割', 'シルバーピア']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1301_room.html?JKSS=000340203,<li>東武伊勢崎線「竹ノ塚」駅 徒歩11～16分</li><li>東武伊勢崎線「竹ノ塚」駅バス2～3分 徒歩2～7分</li><li>JR常磐線「北千住」駅バス16～18分 徒歩1～5分</li>
tokyo,kitasenju,竹の塚第一アネックス,83800,,,,,,,足立区竹の塚3-11ほか,34号棟,鉄筋コンクリート造,2,N,203号室,1DK,36,9,79400,4400,2か月,"['近居割', 'シルバーピア']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1301_room.html?JKSS=000340203,<li>東武伊勢崎線「竹ノ塚」駅 徒歩11～16分</li><li>東武伊勢崎線「竹ノ塚」駅バス2～3分 徒歩2～7分</li><li>JR常磐線「北千住」駅バス16～18分 徒歩1～5分</li>
tokyo,kitasenju,大谷田一丁目,98100,JR常盤線「亀有」駅,18.0,23.0,,,,足立区大谷田1-1,5号棟,鉄筋コンクリート造,10,N,1002号室,3DK,60,14,94400,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000051002,<li>JR常盤線「亀有」駅 徒歩18～23分</li><li>JR常磐線「亀有」駅バス3分 徒歩2～4分</li><li>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分</li>
tokyo,kitasenju,大谷田一丁目,98100,,,,JR常磐線「亀有」駅,5.0,7.0,足立区大谷田1-1,5号棟,鉄筋コンクリート造,10,N,1002号室,3DK,60,14,94400,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000051002,<li>JR常盤線「亀有」駅 徒歩18～23分</li><li>JR常磐線「亀有」駅バス3分 徒歩2～4分</li><li>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分</li>
tokyo,kitasenju,大谷田一丁目,98100,東京メトロ千代田線「北綾瀬」駅,16.0,19.0,,,,足立区大谷田1-1,5号棟,鉄筋コンクリート造,10,N,1002号室,3DK,60,14,94400,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000051002,<li>JR常盤線「亀有」駅 徒歩18～23分</li><li>JR常磐線「亀有」駅バス3分 徒歩2～4分</li><li>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分</li>
tokyo,kitasenju,大谷田一丁目,98100,,,,,,,足立区大谷田1-1,5号棟,鉄筋コンクリート造,10,N,1002号室,3DK,60,14,94400,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000051002,<li>JR常盤線「亀有」駅 徒歩18～23分</li><li>JR常磐線「亀有」駅バス3分 徒歩2～4分</li><li>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分</li>
tokyo,kitasenju,フレール西新井中央公園,110000,日暮里舎人ライナー「谷在家」駅,12.0,14.0,,,,足立区西新井3-16ほか,5号棟,鉄筋コンクリート造,1,N,108号室,2DK,50,9,104900,5100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7050_room.html?JKSS=000050108,<li>日暮里舎人ライナー「谷在家」駅 徒歩12～14分</li><li>東武大師線「大師前」駅 徒歩16～18分</li>
tokyo,kitasenju,フレール西新井中央公園,110000,東武大師線「大師前」駅,16.0,18.0,,,,足立区西新井3-16ほか,5号棟,鉄筋コンクリート造,1,N,108号室,2DK,50,9,104900,5100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7050_room.html?JKSS=000050108,<li>日暮里舎人ライナー「谷在家」駅 徒歩12～14分</li><li>東武大師線「大師前」駅 徒歩16～18分</li>
tokyo,kitasenju,フレール西新井中央公園,110000,,,,,,,足立区西新井3-16ほか,5号棟,鉄筋コンクリート造,1,N,108号室,2DK,50,9,104900,5100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7050_room.html?JKSS=000050108,<li>日暮里舎人ライナー「谷在家」駅 徒歩12～14分</li><li>東武大師線「大師前」駅 徒歩16～18分</li>
